,index,query_type,standard,question_word,comparee_type,parameter,comparee,answer,question
60,last,comparee,position,what,competition,position,#,most,what is the last competition ?
61,higher,comparee,"score in 3 balls, 2 ribbons",who,nation,"score in 3 balls, 2 ribbons",had,more,"who had a higher score in 3 balls, 2 ribbons, ukraine or bulgaria ?"
62,#,comparee,5 hoops,what,nation,5 hoops,#,-1,what was the difference in the 5 hoops between bulgaria and belarus ?
63,last,comparee,position,#,nation,position,#,most,name of the last placed nation ?
64,least,comparee,5 hoops,what,nation,5 hoops,country,least,what country had the least in the 5 hoops category
65,top,comparee,scoring,what,nation,scoring,nation,least,what nation was the top scoring in the games ?
66,more,difference,total goals,how many,name,total goals,#,more,how many more total goals does leandro de almeida has than zsombor kerekes ?
67,first,index,position,is,name,position,#,least,whom is listed first on the chart ?
68,earlier,comparee,#,who,driver,#,came,less,"who came in earlier, tony maggs or jo siffert ?"
69,least,comparee,grid,what,nan,grid,country,least,"what country had the least number of drivers, germany or the uk ?"
70,fisrt,comparee,position,who,driver,position,came,least,who came in first ?
71,top,comparee,#,who,driver,#,#,least,who was the top finisher that drove a cooper-climax ?
72,#,comparee,qualifying scores,what,location,qualifying scores,#,-1,what was the difference between her qualifying scores for balance beam between boston and philadelphia ?
73,more,index,#,did,nan,#,#,more,did the olympic trials or the american cup have more events ?
74,highest,comparee,all aroud score,what,final-event,all aroud score,#,most,what was her highest all around score ?
75,highest,comparee,qualifying rank,what,final-rank,qualifying rank,#,most,what was her highest qualifying rank ?
76,last,index,#,was,nan,#,#,most,when was the last year they placed 2nd ?
77,least,comparee,#,which,nan,#,administration,least,which administration has the least amount of division ?
78,#,comparee,#,what,nan,#,division,nan,"what division were they in the most, section 3 or 2 ?"
79,first,comparee,position,what,level,position,#,least,what is the first tier listed ?
80,more,comparee,attendence,which,date,attendence,tournament,more,"which tournament was attended by more people, ucl on july 13th or supercup on july 17th ?"
81,more,comparee,attendence,which,date,attendence,game,more,"which game was attended by more people, august 7 or september 22 ?"
82,first,comparee,the number of points,what,date,the number of points,#,least,what is the difference between the number of points scored in the first game on july 13 and the 18th game on september 26 ?
83,first,comparee,date,which,opponent,date,team,least,which team did they play first during this season ?
84,highest,comparee,attendence,which,date,attendence,game,most,which game had the highest attendance ?
85,more,index,#,was,nan,#,#,more,was he nominated more than he actually won ?
86,most,comparee,#,what,nan,#,title,most,for what title did mr. borgnine receive the most awards ?
87,#,difference,#,how many,nan,#,#,nan,how many times did marty win the award for best actor ?
88,first,difference,#,how,nan,#,#,least,"how long after his first best actor academy award, did mr. borgnine receive his screen actors guild life acheivement award ?"
89,#,comparee,years,what,composor,years,#,-1,what is the difference in years of granville bantock's work compared to pete dohert ?
90,first,comparee,years,which,composor,years,composer,least,which composer published first granville bantock or emil petrovics ?
91,first,comparee,position,who,player,position,#,least,who is the first player listed ?
92,more,comparee,#,which,nan,#,month,more,"which month had more games played, january or december ?"
93,fisrt,comparee,position,what,region,position,region,least,what region is listed at the top ?
94,#,comparee,date,what,city,date,#,-1,what is the difference in foundation date between cusco and motul ?
95,most,comparee,#,what,nan,#,country,most,what country had the most cities founded in the 1830's ?
96,top,comparee,position,who,team,position,#,least,who is at the top of the list ?
97,least,comparee,losses,who,team,losses,has,least,who has the least amount of losses ?
98,last,comparee,points,which,team,points,team,most,which team was last in terms of points up until this point ?
99,top,comparee,#,what,nan,#,#,least,what was the number of swedes in the top fifteen ?
100,last,comparee,total,who,name,total,#,most,who was the last competitor to actually finish both runs ?
101,last,comparee,total,what,nation,total,#,most,what is the last nation to be ranked ?
102,last,comparee,position,what,title,position,#,most,what is the last title on the chart ?
103,first,comparee,position,who,director,position,did,least,who did the music of the first title arunthathi ?
104,first,comparee,#,what,nan,#,#,least,what was the first tamil-language film in 1943 ?
105,higher,comparee,#,which,county,#,county,more,"which county has a higher population, alamance or alexander ?"
106,most,comparee,area,which,county,area,county,most,which county covers the most area ?
107,largest,comparee,population,which,county,population,county,most,other than mecklenburg which county has the largest population ?
108,higher,index,attendence,was,week,attendence,#,more,was attendance higher during week 5 or week 9 ?
109,most,comparee,consecutive,what,nan,consecutive,#,most,what was the most consecutive wins ?
110,last,comparee,date,what,date,date,#,most,what was the date of the last game ?
111,most,comparee,points,which,date,points,game,most,which game had the most points scored ?
112,#,comparee,years,what,club,years,#,-1,"what is the difference, in years, between the founding of the heidelberg football club and the eltham football club ?"
113,last,difference,#,how,nan,#,#,most,how long has it been since the last greensborough football club promotion ?
114,most,comparee,#,which,nan,#,football,most,which football club had its most recent promotion a year before the heidelberg football club ?
115,first,comparee,enter competition,who,club,enter competition,#,least,who was the first division 1 team to enter competition ?
116,#,comparee,average,what,episode,average,#,-1,what is the difference between the average for episode 1 and the average for episode 13 ?
117,first,comparee,position,what,original broadcast date,position,date,least,on what date was the first episode broadcast ?
118,last,comparee,position,what,original broadcast date,position,month,most,in what month was the last episode broadcast ?
119,last,comparee,position,what,rank,position,#,most,what was the rank of the last episode broadcasted ?
120,first,comparee,position,which,average,position,#,least,which was the first episode to drop the average below 0.60 ?
121,last,comparee,date,what,original broadcast date,date,#,most,what was the date of the last episode that was broadcast ?
122,least,comparee,amount of games,which,team,amount of games,team,least,for which team did this player have the least amount of games played ?
123,most,comparee,combined tackles,which,year,combined tackles,year,most,in which year did coy have the most combined tackles ?
124,least,comparee,#,what,team,#,team,least,what team did he play for the least amount of years ?
125,#,comparee,votes,what,county,votes,#,-1,what was the difference in the number of votes between otero county and harding county ?
126,most,comparee,romney,what,county,romney,county,most,what county had the most votes for romney ?
127,largest,comparee,points,which,country,points,country,most,which country had the largest number of points ?
128,first,comparee,no.,which,country,no.,country's,least,which country's team ranked first ?
129,top,comparee,#,what,nan,#,#,least,what was the average number of points scored among the top five teams ?
130,most,comparee,ranked,which,player,ranked,player,most,which player ranked the most ?
131,first,comparee,position,what,player,position,#,least,what is the first name on the list ?
132,top,comparee,position,who,player,position,#,least,who was the top ranked player in a single game ?
133,least,comparee,total,what,total,total,#,least,what is the least total on the list ?
134,#,comparee,votes,what,candidate,votes,#,-1,what was the difference in votes between mccain and romney ?
135,more,comparee,votes,who,candidate,votes,received,more,"who received more votes, duncan hunter or alan keyes ?"
136,most,comparee,#,what,nan,#,country,most,what country has the most bronze ?
137,top,comparee,#,who,nan,#,#,least,who was the top performer from russia ?
138,first,comparee,first year in this position,which,first year in this position,first year in this position,coach,least,which coach was the first to coach before all others ?
139,most,comparee,years,which,years at nebraska,years,coach,most,which coach held his position for the most years ?
140,#,comparee,first year in this position,which,first year in this position,first year in this position,coach,nan,which coach listed started first ?
141,better,comparee,selling,which,album,selling,#,more,"which was better selling, hunningolla or vain elamaa ?"
142,highest,index,sell,does,artist(s),sell,#,most,does adele or chisu have the highest number of sales ?
143,last,comparee,sell,which,artist(s),sell,#,most,"which was the last album to sell over 100,000 records ?"
144,most,comparee, sold,what,album, sold,album,most,tell me what album had the most sold.
145,least,comparee,sales,which,album,sales,album,least,which album had the least amount of sales ?
146,top,comparee,selling,what,album,selling,#,least,what was the top selling album in this year ?
147,highest,comparee,#,which,album,#,album,most,which album has the highest number of sales but doesn't have a designated artist ?
148,#,comparee,#,what,nan,#,#,nan,"what is the difference between the number times the result was ""won"" and the number of times the result was ""nominated?"""
149,first,comparee,year,what,film,year,#,least,what was the first movie that this actor received an award for starring in ?
150,most,comparee,#,which,nan,#,film,most,which film won the most awards ?
151,longest,comparee,#,what,nan,#,#,most,what is dev's longest streak of consecutive wins without a loss ?
152,largest,comparee,#,what,nan,#,#,most,"what is the next largest attendance record after 74,854 ?"
153,more,difference,points,how many,driver,points,#,more,how many more points did paul tracy earn during the race than max papis ?
154,least,comparee,#,who,nan,#,ran,least,who ran the least number of laps in the 1999 miller lite 225 ?
155,most,comparee,#,#,nan,#,#,most,the most points rewarded to drivers under 225 laps
156,#,comparee,#,what,nan,#,#,nan,what is the difference in the number of people sent home in episode one and two ?
157,highest,comparee,highest seller,what,episode,highest seller,two,most,what two episodes was adam the highest seller ?
158,last,comparee,#,what,nan,#,#,most,what was the last episode with two people sent home ?
159,last,comparee,position,who,sent home,position,#,most,who was the last person to be sent home ?
160,highest,comparee,#,what,nan,#,#,most,what was the only episode without a highest seller ?
161,longer,comparee,dates,which,mine,dates,mine,more,"which mine was open longer, golden giant or beanland mine ?"
162,#,comparee,#,what,nan,#,town,nan,what town is listed the most ?
163,#,comparee,child population,what,district,child population,#,-1,what is the difference in child population between koraput and puri ?
164,higher,comparee,population,which,nan,population,district,more,"which district has a higher population, angul or cuttack ?"
165,least,comparee,growth from 2001-2011,which,district,growth from 2001-2011,district,least,which district had least population growth from 2001-2011 ?
166,last,comparee,literacy,what,district,literacy,city,most,what city is last in literacy ?
167,most,comparee,people per km2,which,district,people per km2,district,most,which district had the most people per km ?
168,highest,comparee,points,which,nan,points,team,most,which team won in the game in which the highest number of points was scored ?
169,most,comparee,#,who,nan,#,played,most,who played the most consecutive home games
170,first,comparee,#,which,nan,#,date,least,if a relative attended his/her first san antonio spurs game at the end of 1976 which date would they be referring to ?
171,first,comparee,#,who,nan,#,#,least,who was the opponent in the first game the san antonio spurs won in december 1976 ?
172,same,index,results,was,#,results,#,equal,was the result of the game on the 2nd the same as the game on the 23rd ?
173,least,comparee,scoring average,which,year,scoring average,one,least,which one is the least with scoring average
174,most,comparee,2nd,which,year,2nd,year,most,which year in this golfer's career saw her have the most 2nd place finishes ?
175,last,comparee,year,what,nan,year,#,most,what is the last year christel boeljon played in the ladies european tour as an amateur ?
176,larger,index,place,did,year,place,#,more,did 1979 or 1985 have the larger finish place ?
177,top,comparee,#,what,nan,#,#,least,what is the total number of times pancho carter finished the indy 500 in the top 10> ?
178,#,comparee,#,what,#,#,#,-1,what is the difference between the edmonton hundred and the elthorne hundred in 1801 ?
179,#,comparee,#,what,nan,#,#,-1,what is the difference between the elthorne hundred and the gore hundred in 1831 ?
180,largest,comparee,total,which,year,total,year,most,which year saw the largest population of tower division during this time ?
181,most,comparee,division,which,#,division,division,most,"in 1881, the most people lived in which division of middlesex ?"
182,last,comparee,#,what,nan,#,#,most,"what was the last year that the gore hundred was below 10,000 ?"
183,#,comparee,time,what,time,time,#,-1,what was the difference between he bronze medalist and the fourth place finisher's time ?
184,first,comparee,#,who,athelete,#,placed,least,who placed first in the 2006 asian games finals? ?
185,top,comparee,#,who,athelete,#,#,least,who was the top finisher ?
186,faster,difference,time,how much,athelete,time,#,less,how much faster was olga tereshkova's time compared to mahjeet kaur ?
187,longest,difference,winning streak,how,nan,winning streak,#,most,how long was their longest winning streak ?
188,most,comparee,#,which,opponent,#,team?,most,the most points the kansas city chiefs scored in the 1997 season was in a game against which team ?
189,more,index,games,did,nan,games,#,more,did austria win more games in 1992 or 1996 ?
190,greatest,comparee,points,what,score,points,#,most,what is the greatest number of points this team has won by ?
191,least,comparee,goals,what,year,goals,year,least,in what year did they score the least amount of goals ?
192,last,comparee,year,what,opponent,year,#,most,what was the last team this team played against in the 1990s ?
193,shorter,comparee,time,which,title,time,song,less,"which song is the only one that is shorter than ""where the spirit is?"""
194,more,difference,time,how many,title,time,#,more,how many tracks last more than 5:00 ?
195,better,comparee,scored,who,opponent,scored,scored,more,who scored better in the 1995 fifa world cup denmark or the united states ?
196,#,difference,number of goals,what,number of goals,number of goals,1999 fifa world cup,nan,what is the difference in the number of goals scored in the 1999 fifa world cup and the 2000 summer olympics ?
197,first,comparee,#,what,nan,#,#,least,what it the total number of countries in the first stage of the 2008 afc asian cup ?
198,first,comparee,#,who,nan,#,#,least,who was this team's next opponent after facing new zealand in the first stage of the 1986 ofc championship ?
199,last,comparee,position,who,oppenent,position,#,most,who was the last opponent this team faced in the 2010 afc asian cup ?
200,more,index,#,are,#,#,guards,more,are there more g's or c's? (guards or centers)
201,most,comparee,maps,what,location,maps,location,most,what location has the most maps ?
202,most,index,windmills,did,#,windmills,"cromer, chipperfield or cheshunt",most,"did cromer, chipperfield or cheshunt have the most windmills ?"
203,first,comparee,#,what,number,#,#,least,what is the number of mills first mentioned or built in the 1800s ?
204,highest,comparee,spot,which,album,spot,album,most,which album hit the highest spot on the uk albums chart ?
205,first,comparee,time,what,song,time,song,least,what was the first song that this producer helped write ?
206,latest,comparee,#,what,song,#,#,most,what is eightysix's latest song ?
207,most,comparee,titles,which,producer(s),titles,producer,most,which producer had the most titles ?
208,largest,comparee,margain,who,name,margain,#,most,who had the largest margin of winning ?
209,last,comparee,#,what,name,#,#,most,what was the last opponent the club played in august ?
210,first,comparee,#,who,club,#,#,least,who did the club play its first match against ?
211,least,comparee,amount of time,what,team,amount of time,team,least,what team spent the least amount of time in the administration ?
212,last,comparee,#,what,#,#,#,most,what is the last club listed ?
213,more,index,gold medals,did,nan,gold medals,panama,more,did panama receive more gold medals than peru in taekwondo at the 2013 bolivarian games ?
214,most,comparee,#,what,nation,#,nation,most,what nation had the most silver medals ?
215,top,comparee,bronze medals,what,country,bronze medals,country,least,what country scored the top number of bronze medals in taekwondo at the 2013 bolivarian games ?
216,most,comparee,gold medals,which,country,gold medals,country,most,which country scored the most gold medals at this event ?
217,first,comparee,goal,what,minute,goal,minute,least,how long or what minute in the game was the first goal scored ?
218,first,comparee,#,who,country,#,#,least,who was the opponent faced when the first goal was scored in 2004 ?
219,last,comparee,position,what,location,position,#,most,what is the last location on the chart
220,better,index,score,did,nan,score,#,more,did they have a better score against the tennessee titans or the green bay packers ?
221,last,comparee,attendance,what,attendance,attendance,the first game,most,what is the difference in attendance between the first game in september and the last game in january ?
222,largest,comparee,differences,which,time,differences,game,most,which game had the largest difference in score ?
223,first,comparee,time,what,time,time,#,least,what was the first time in the season the ravens were held to under ten points ?
224,least,comparee,points,what,points,points,#,least,what is the least amount of points that the ravens scored but still won by in 2005 ?
225,#,difference,#,what,nan,#,wins,nan,what is the difference between the number of wins and the number of losses ?
226,most,comparee,people,which,date,people,date,most,which date was attended by the most people ?
227,last,comparee,time,what,date,time,#,most,"what was the last game to be attended by fewer than 30,000 people ?"
228,last,comparee,#,what,year,#,#,most,what was the last year for ppopp ?
229,longer,comparee,#,which,#,#,stoc,more,which has lasted longer stoc or lctes ?
230,last,comparee,year,what,year,year,#,most,"what was the last year that the ""symposium on principles and practice of parallel programming"" held ?"
231,least,comparee,number of points,which,artist,number of points,artist,least,which artist earned the least number of points ?
232,least,comparee,points,who,#,points,had,least,"next to mystique's ""op zo'n dag"", who had the least amount of points ?"
233,more,index,#,did,#,#,los angeles rams,more,did he score more tds with the los angeles rams or with indianapolis colts ?
234,most,comparee,rushing yards,which,year,rushing yards,year,most,which year did dickerson earn the most rushing yards ?
235,least,comparee,rushing yards,which,year,rushing yards,year,least,which year did dickerson earn the least rushing yards ?
236,more,index,competitions,were,#,competitions,april,more,were more competitions played in april or december ?
237,largest,comparee,result,which,venue,result,venue,most,which venue has the largest result
238,top,comparee,position,what,venue,position,#,least,what is the top listed venue in the table ?
239,faster,comparee,speed,who,#,speed,mikio oyama,nan,"who was faster, mikio oyama or arnulf sunde ?"
240,same,comparee,#,what,racer,#,racer,equal,what racer finished with the same time as the fastest norwegian skater ?
241,last,comparee,single,what,date,single,#,most,what was the last single released ?
242,top,comparee,position,what,album,position,#,least,what is the top album name ?
243,last,comparee,position,which,song,position,#,most,which song is last on the list ?
244,#,comparee,result,what,#,result,huang qiuyan,nan,what is the difference between huang qiuyan's result and fumiyo yoshida's result ?
245,first,comparee,place,what,nationality,place,nationality,least,what nationality was the woman who won first place ?
246,first,comparee,#,which,country,#,country,nan,which country came in first ?
247,most,comparee,competitors,which,country,competitors,country,least,which country had the most competitors ranked in the top three in the event ?
248,first,comparee,films,what,film,films,#,least,what was henrick malberg's first film ?
249,first,difference,films,how many,years,films,#,least,how many years had passed from malberg's first film to the first danish film with sound ?
250,most,comparee,films,#,films,films,#,most,the most films henrick malberg appeared in in one year.
251,first,comparee,#,what,title,#,#,least,what is the first original title listed on this chart ?
252,last,comparee,#,what,film,#,#,most,what was henrick malberg's last film ?
253,last,comparee,#,what,year,#,year,most,in what year was henrik malberg's last film released ?
254,least,comparee,amount of petroleum coke,which,pollutant,amount of petroleum coke,pollutant,least,which pollutant has the least amount of petroleum coke fired ?
255,least,comparee,passenger capacity,what,lift,passenger capacity,lift,least,what lift has the least passenger capacity per hour ?
256,longest,comparee,name,which,title,name,title,most,which title has the longest name ?
257,last,comparee,position,which,performance,position,performance,most,which performance was last on this album ?
258,last,comparee,position,what,track,position,#,most,what is the last track on the list ?
259,first,comparee,#,what,track,#,#,least,what is the first track to have two performers ?
260,most,comparee,losses,which,team,losses,team,most,which team has the most losses ?
261,least,comparee,games,what,team,games,team,least,what team won the least games ?
262,least,comparee,win percentage,which,team,win percentage,team,least,which team has the least win percentage ?
263,first,comparee,#,which,team,#,team,nan,which team came in first ?
264,longest,comparee,time,what,time,time,#,most,what was the longest time on the list ?
265,first,comparee,position,what,name,position,#,least,what is the first name listed ?
266,top,comparee,ranked,who,competitor,ranked,#,least,who was the top ranked competitor in this race ?
267,top,comparee,performer,what,country,performer,country,least,what country was the top performer from ?
268,shorter,comparee,time,who,#,time,#,less,who ran a shorter time than emebet anteneh mengistu ?
269,fewest,comparee,attendees,which,date,attendees,#,least,date on which the fewest attendees were at a dolphins game (home or away)
270,first,comparee,position,#,opponent,position,#,least,first home opponent for the dolphins in the season
271,most,comparee,#,which,#,#,tornado,most,which tornado outbreak on the list killed the most people ?
272,most,comparee,casualties,which,event,casualties,event,most,which event had the most casualties ?
273,more,difference,#,how many,number,#,received a single-bye,more,how many more schools received a single-bye than schools that received a double-bye ?
274,last,comparee,#,which,team,#,team,most,which team finished last in this conference this season ?
275,most,comparee,wins,which,school,wins,school,most,which school had the most wins overall ?
276,least,comparee,wins,which,school,wins,school,least,which school had the least wins in the conference ?
277,most,comparee,wins,what,school,wins,school,most,what school had the most wins overall ?
278,last,difference,#,what,number,#,#,most,what was the difference between the two scores of the last game ?
279,first,difference,#,how many,weeks,#,#,least,how many consecutive weeks did the the gators win until the had their first lost in the 2010 season ?
280,most,comparee,points,what,points,points,#,most,what was the most the university of florida won by ?
281,largest,comparee,number of games,what,tv network,number of games,#,most,what tv network showed the largest number of games during the 2010/2011 season ?
282,#,difference,#,what,number,#,the number of games played at manny ramjohn stadium,nan,what is the difference between the number of games played at manny ramjohn stadium and the number of games played at marvin lee stadium ?
283,more,difference,points,how many,number,points,w connection,more,how many more points did w connection score than san juan jabloteh in 2005 ?
284,most,comparee,league cups,who,name,league cups,#,most,who has won the most league cups  ?
285,most,comparee,times,who,name,times,#,most,who won the trinidad and tobago league cup the most times between 2000 and 2012 ?
286,most,comparee,times,which,team,times,team,most,which team was the winner the most times ?
287,most,comparee,atheletes,which,country,atheletes,country,most,which country had the most athletes ?
288,first,comparee,ranked,what,name,ranked,#,least,what is the first name ranked ?
289,#,difference,population,what,number,population,daping,nan,what is the difference in population between daping and shaoshan ?
290,larger,comparee,area,which,division,area,#,nan,which division had the larger area ?
291,most,comparee,people,which,division,people,#,most,which division has the most people ?
292,same,index,population,does,#,population,ruyi,equal,does the ruyi have the same population as the yongyi ?
293,#,difference,number,what,driver(s),number,tom power,-1,what is the difference in tom power's number and jon wood's number ?
294,most,comparee,vehicles,what,vehicle,vehicles,#,most,what vehicle maker other than dodge has the most vehicles in the roster ?
295,first,comparee,dodge ram,which,team,dodge ram,team,least,"according to the chart, which team is listed to have the first dodge ram ?"
296,top,comparee,position,who,name,position,#,least,who is at the top of the list ?
297,last,comparee,free choice performance,what,date,free choice performance,#,most,what was the date of the last free choice performance ?
298,last,comparee,free choice song,what,song,free choice song,#,most,"what was the last ""free choice"" song babou performed on x factor ?"
299,first,comparee,song,which,song,song,#,least,which was the first song he performed that was originally a beatles song ?
300,most,comparee,#,which,location,#,round,most,which round had the most miles ?
301,most,comparee,#,which,location,#,location,most,which location has the most destinations ?
302,first,comparee,#,what,location,#,#,least,"what is the first destination after berkeley springs, wv ?"
303,most,comparee,#,which,country,#,representative,most,which representative represented the most counties ?
304,most,comparee,#,which,country,#,wyoming,most,which wyoming senator represented the most counties ?
305,first,comparee,#,#,country,#,#,least,this first district representative lives in devil's tower.
306,longest,comparee,#,which,swimmer,#,swimmer,most,which swimmer had the longest time ?
307,first,comparee,#,what,swimmer,#,swimmer,least,what swimmer had the top or first rank ?
308,top,comparee,position,who,cuban,position,#,least,who was the only cuban to finish in the top eight ?
309,last,comparee,competitor,who,competitor,competitor,#,most,who was the last competitor to actually finish the preliminaries ?
310,first,comparee,competition,what,name,competition,#,least,what is the name of the first competition listed ?
311,last,comparee,opponent,who,opponent,opponent,#,most,who was their last opponent in the uefa cup in the 2007-2008 season ?
312,more,index,#,was,#,#,gold medals,more,was there more gold medals won than silver ?
313,most,comparee,medals,which,event,medals,event,most,which event won the most medals ?
314,first,comparee,position,what,sport,position,sport,nan,what sport is listed first ?
315,oldest,comparee,#,which,player,#,player,nan,which player is the oldest ?
316,top,comparee,entered service,#,#,entered service,#,least,can you find the top entered service ?
317,last,comparee,number,what,number,number,#,most,what is the last number on the list ?
318,first,comparee,#,what,date,#,#,least,what was the first entered service date in the table ?
319,least,comparee,amout of time,which,number,amout of time,number,least,which number was in service the least amount of time ?
320,most,comparee,reansons,what,name,reansons,#,most,what was the most reason given in the notes column ?
321,last,comparee,win,what,date,win,#,most,what was the date of the last win ?
322,first,comparee,#,which,venue,#,venue,least,"which venue was the first to have over 30,000 attendees"
323,least,comparee,points,what,least,points,#,least,what was the least number of points a game was won by ?
324,best,comparee,time,what,time,time,#,nan,"next to 2:13:09, what was his best time ?"
325,most,comparee,#,what,venue,#,venue,most,what venue appears most on the list ?
326,first,comparee,competition,which,venue,competition,#,least,which was the first competition ?
327,first,comparee,competition,where,venue,competition,this,least,what was the first competition where this runner placed 1st ?
328,more,index,#,were,#,#,tv,more,were more air on tv or video ?
329,least,comparee,amount of years,what,work,amount of years,#,least,what is takashi miike's work with the least amount of years since release ?
330,less,index,#,did,division 1 overall,#,chicago,less,did chicago win more or less than cal-berkeley ?
331,top,comparee,winner,who,winner,winner,#,least,who was the top winner in 2002 of the division 1 undergraduate ?
332,most,comparee,#,who,division,#,#,most,valencia cc and who else won the most division ii community college ?
333,most,comparee,#,who,name,#,#,most,who is listed the most in division ii community college ?
334,first,comparee,year,what,year,year,#,least,what is the first year on the chart ?
335,most,comparee,consecutive years,who,name,consecutive years,#,most,who hosted the most consecutive years ?
336,last,comparee,year,what,year,year,#,most,what is the last year on the chart ?
337,last,index,#,was,year,#,#,most,when was the last time the event was held in minnesota ?
