,index,table_title,table_context,query_type,standard,question_word,comparee_type,parameter,comparee,answer,question
51,most,"Argentine legislative election, 1930",Party/Electoral Alliance,comparee,vote,which,party/electoral alliance,vote,one,most,which one has the most vote
52,least,"Argentine legislative election, 1930",Party/Electoral Alliance,comparee,vote,which,party/electoral alliance,vote,one,least,which one has the least vote
53,more,Legend (TV series),Ep# Title Broadcast Date Written by Directed by,index,#,were,nan,#,#,more,were more episodes written by michael piller & bill dial or by bob shane & ron friedman ?
54,first,Legend (TV series),Title Broadcast Date,comparee,broadcast date,which,title,broadcast date,episode,least,"which episode aired first--""birth of a legend"" or ""skeletons in the closest"" ?"
55,first,Legend (TV series),Title,comparee,position,what,title,position,#,least,what was the name of the first episode ?
56,most,Fiesch,Name,comparee,elevation (mountain station),which,name,elevation (mountain station),one,most,which one has the most elevation (mountain station) on the chart
57,last,Fiesch,Name construction year,comparee,construction year,what,name,construction year,name,most,what name was in the last construction year ?
58,oldest,Fiesch,Name,comparee,#,which,name,#,cable,most,which cable car is the oldest ?
59,first,Luís Jesus,DURATION Year Position,comparee,position,what,year,position,#,least,what is the first year ?
60,last,Luís Jesus,Competition Position,comparee,position,what,competition,position,#,most,what is the last competition ?
61,higher,1996 World Rhythmic Gymnastics Championships,Nation,comparee,"score in 3 balls, 2 ribbons",who,nation,"score in 3 balls, 2 ribbons",had,more,"who had a higher score in 3 balls, 2 ribbons, ukraine or bulgaria ?"
62,#,1996 World Rhythmic Gymnastics Championships,NUMBER|O Nation 5 Hoops,comparee,5 hoops,what,nation,5 hoops,#,-1,what was the difference in the 5 hoops between bulgaria and belarus ?
63,last,1996 World Rhythmic Gymnastics Championships,Nation,comparee,position,#,nation,position,#,most,name of the last placed nation ?
64,least,1996 World Rhythmic Gymnastics Championships,NUMBER|O Nation 5 Hoops,comparee,5 hoops,what,nation,5 hoops,country,least,what country had the least in the 5 hoops category
65,top,1996 World Rhythmic Gymnastics Championships,Nation,comparee,scoring,what,nation,scoring,nation,least,what nation was the top scoring in the games ?
66,more,2008–09 Debreceni VSC season,Name,difference,total goals,how many,name,total goals,#,more,how many more total goals does leandro de almeida has than zsombor kerekes ?
67,first,2008–09 Debreceni VSC season,Position Name,index,position,is,name,position,#,least,whom is listed first on the chart ?
68,earlier,1963 International Gold Cup,Driver,comparee,#,who,driver,#,came,less,"who came in earlier, tony maggs or jo siffert ?"
69,least,1963 International Gold Cup,Grid,comparee,grid,what,nan,grid,country,least,"what country had the least number of drivers, germany or the uk ?"
70,fisrt,1963 International Gold Cup,Driver,comparee,position,who,driver,position,came,least,who came in first ?
71,top,1963 International Gold Cup,Driver,comparee,#,who,driver,#,#,least,who was the top finisher that drove a cooper-climax ?
72,#,Samantha Peszek,Location,comparee,qualifying scores,what,location,qualifying scores,#,-1,what was the difference between her qualifying scores for balance beam between boston and philadelphia ?
73,more,Samantha Peszek,Year Competition Location Event Final-Rank Final-Score Qualifying Rank Qualifying Score,index,#,did,nan,#,#,more,did the olympic trials or the american cup have more events ?
74,highest,Samantha Peszek,Year Competition Location Event Final-Rank Final-Score Qualifying Rank Qualifying Score,comparee,all aroud score,what,final-event,all aroud score,#,most,what was her highest all around score ?
75,highest,Samantha Peszek,Final-Rank Qualifying Rank,comparee,qualifying rank,what,final-rank,qualifying rank,#,most,what was her highest qualifying rank ?
76,last,Jalkapalloseura Airport City,Season Level Division Section Administration Position Movements,index,#,was,nan,#,#,most,when was the last year they placed 2nd ?
77,least,Jalkapalloseura Airport City,Administration,comparee,#,which,nan,#,administration,least,which administration has the least amount of division ?
78,#,Jalkapalloseura Airport City,Division,comparee,#,what,nan,#,division,nan,"what division were they in the most, section 3 or 2 ?"
79,first,Jalkapalloseura Airport City,Level Position,comparee,position,what,level,position,#,least,what is the first tier listed ?
80,more,2010–11 GNK Dinamo Zagreb season,Date Tournament,comparee,attendence,which,date,attendence,tournament,more,"which tournament was attended by more people, ucl on july 13th or supercup on july 17th ?"
81,more,2010–11 GNK Dinamo Zagreb season,Date,comparee,attendence,which,date,attendence,game,more,"which game was attended by more people, august 7 or september 22 ?"
82,first,2010–11 GNK Dinamo Zagreb season,Date,comparee,the number of points,what,date,the number of points,#,least,what is the difference between the number of points scored in the first game on july 13 and the 18th game on september 26 ?
83,first,2010–11 GNK Dinamo Zagreb season,Date Opponent,comparee,date,which,opponent,date,team,least,which team did they play first during this season ?
84,highest,2010–11 GNK Dinamo Zagreb season,Date,comparee,attendence,which,date,attendence,game,most,which game had the highest attendance ?
85,more,Ernest Borgnine,Year Award Category Title Result,index,#,was,nan,#,#,more,was he nominated more than he actually won ?
86,most,Ernest Borgnine,Title,comparee,#,what,nan,#,title,most,for what title did mr. borgnine receive the most awards ?
87,#,Ernest Borgnine,Year Award Category Title Result,difference,#,how many,nan,#,#,nan,how many times did marty win the award for best actor ?
88,first,Ernest Borgnine,Year Award Category Title Result,difference,#,how,nan,#,#,least,"how long after his first best actor academy award, did mr. borgnine receive his screen actors guild life acheivement award ?"
89,#,Music based on the works of Oscar Wilde,Composer Title Genre Date Notes,comparee,years,what,composor,years,#,-1,what is the difference in years of granville bantock's work compared to pete dohert ?
90,first,Music based on the works of Oscar Wilde,Composer,comparee,years,which,composor,years,composer,least,which composer published first granville bantock or emil petrovics ?
91,first,2012–13 South China AA season,Position Player,comparee,position,who,player,position,#,least,who is the first player listed ?
92,more,1930–31 New York Rangers season,Game December Opponent Score Record,comparee,#,which,nan,#,month,more,"which month had more games played, january or december ?"
93,fisrt,Love Comes Again,Region,comparee,position,what,region,position,region,least,what region is listed at the top ?
94,#,List of cities in the Americas by year of foundation,City,comparee,date,what,city,date,#,-1,what is the difference in foundation date between cusco and motul ?
95,most,List of cities in the Americas by year of foundation,Country,comparee,#,what,nan,#,country,most,what country had the most cities founded in the 1830's ?
96,top,National Hockey League all-time results,Team,comparee,position,who,team,position,#,least,who is at the top of the list ?
97,least,National Hockey League all-time results,Team Losses,comparee,losses,who,team,losses,has,least,who has the least amount of losses ?
98,last,National Hockey League all-time results,Team Points,comparee,points,which,team,points,team,most,which team was last in terms of points up until this point ?
99,top,FIS Alpine World Ski Championships 2011 – Women's giant slalom,Rank Bib Name Nation Run 1 Rank Run 2 Rank Total Difference,comparee,#,what,nan,#,#,least,what was the number of swedes in the top fifteen ?
100,last,FIS Alpine World Ski Championships 2011 – Women's giant slalom,Name Total,comparee,total,who,name,total,#,most,who was the last competitor to actually finish both runs ?
101,last,FIS Alpine World Ski Championships 2011 – Women's giant slalom,Nation Total,comparee,total,what,nation,total,#,most,what is the last nation to be ranked ?
102,last,List of Tamil films of 1943,Title,comparee,position,what,title,position,#,most,what is the last title on the chart ?
103,first,List of Tamil films of 1943,Director,comparee,position,who,director,position,did,least,who did the music of the first title arunthathi ?
104,first,List of Tamil films of 1943,Title Director Production Music Cast Release date,comparee,#,what,nan,#,#,least,what was the first tamil-language film in 1943 ?
105,higher,List of counties in North Carolina,County,comparee,#,which,county,#,county,more,"which county has a higher population, alamance or alexander ?"
106,most,List of counties in North Carolina,County Area,comparee,area,which,county,area,county,most,which county covers the most area ?
107,largest,List of counties in North Carolina,County,comparee,population,which,county,population,county,most,other than mecklenburg which county has the largest population ?
108,higher,1952 New York Giants season,DURATION Week,index,attendence,was,week,attendence,#,more,was attendance higher during week 5 or week 9 ?
109,most,1952 New York Giants season,Week Date Opponent Result Attendance,comparee,consecutive,what,nan,consecutive,#,most,what was the most consecutive wins ?
110,last,1952 New York Giants season,Date,comparee,date,what,date,date,#,most,what was the date of the last game ?
111,most,1952 New York Giants season,Date,comparee,points,which,date,points,game,most,which game had the most points scored ?
112,#,2010 Northern Football League season,Club,comparee,years,what,club,years,#,-1,"what is the difference, in years, between the founding of the heidelberg football club and the eltham football club ?"
113,last,2010 Northern Football League season,Club Founded Nickname Location Home Ground Entered Competition Most recent Promotion,difference,#,how,nan,#,#,most,how long has it been since the last greensborough football club promotion ?
114,most,2010 Northern Football League season,Club Founded Nickname Location Home Ground Entered Competition Most recent Promotion,comparee,#,which,nan,#,football,most,which football club had its most recent promotion a year before the heidelberg football club ?
115,first,2010 Northern Football League season,Club,comparee,enter competition,who,club,enter competition,#,least,who was the first division 1 team to enter competition ?
116,#,Absolute Darling,Episode Average Episode Original Broadcast Date,comparee,average,what,episode,average,#,-1,what is the difference between the average for episode 1 and the average for episode 13 ?
117,first,Absolute Darling,Original Broadcast Date,comparee,position,what,original broadcast date,position,date,least,on what date was the first episode broadcast ?
118,last,Absolute Darling,Original Broadcast Date,comparee,position,what,original broadcast date,position,month,most,in what month was the last episode broadcast ?
119,last,Absolute Darling,Rank,comparee,position,what,rank,position,#,most,what was the rank of the last episode broadcasted ?
120,first,Absolute Darling,Average Episode Original Broadcast Date,comparee,position,which,average,position,#,least,which was the first episode to drop the average below 0.60 ?
121,last,Absolute Darling,Original Broadcast Date,comparee,date,what,original broadcast date,date,#,most,what was the date of the last episode that was broadcast ?
122,least,Coy Wire,Team,comparee,amount of games,which,team,amount of games,team,least,for which team did this player have the least amount of games played ?
123,most,Coy Wire,DURATION Year Combined Tackles,comparee,combined tackles,which,year,combined tackles,year,most,in which year did coy have the most combined tackles ?
124,least,Coy Wire,Team,comparee,#,what,team,#,team,least,what team did he play for the least amount of years ?
125,#,"United States presidential election in New Mexico, 2012",County Votes Votes Votes,comparee,votes,what,county,votes,#,-1,what was the difference in the number of votes between otero county and harding county ?
126,most,"United States presidential election in New Mexico, 2012",PERSON County Romney,comparee,romney,what,county,romney,county,most,what county had the most votes for romney ?
127,largest,Curling at the 2011 Winter Universiade,Country Points,comparee,points,which,country,points,country,most,which country had the largest number of points ?
128,first,Curling at the 2011 Winter Universiade,No. Country,comparee,no.,which,country,no.,country's,least,which country's team ranked first ?
129,top,Curling at the 2011 Winter Universiade,No. Country 2009 Winter\nUniversiade 2007 WJCC 2007 WWCC 2008 WJCC 2008 WWCC Points,comparee,#,what,nan,#,#,least,what was the average number of points scored among the top five teams ?
130,most,1989 All-Ireland Senior Hurling Championship,Player,comparee,ranked,which,player,ranked,player,most,which player ranked the most ?
131,first,1989 All-Ireland Senior Hurling Championship,Player,comparee,position,what,player,position,#,least,what is the first name on the list ?
132,top,1989 All-Ireland Senior Hurling Championship,Player,comparee,position,who,player,position,#,least,who was the top ranked player in a single game ?
133,least,1989 All-Ireland Senior Hurling Championship,Total,comparee,total,what,total,total,#,least,what is the least total on the list ?
134,#,"Florida Republican primary, 2008",Candidate Votes,comparee,votes,what,candidate,votes,#,-1,what was the difference in votes between mccain and romney ?
135,more,"Florida Republican primary, 2008",Candidate Votes,comparee,votes,who,candidate,votes,received,more,"who received more votes, duncan hunter or alan keyes ?"
136,most,2011–12 ISU Speed Skating World Cup – Men's 500 metres,Occasion # Location Date Gold Time Silver Time Bronze Time Report,comparee,#,what,nan,#,country,most,what country has the most bronze ?
137,top,2011–12 ISU Speed Skating World Cup – Men's 500 metres,Occasion # Location Date Gold Time Silver Time Bronze Time Report,comparee,#,who,nan,#,#,least,who was the top performer from russia ?
138,first,1937 Nebraska Cornhuskers football team,Name Title First year\nin this position Years at Nebraska Alma Mater,comparee,first year in this position,which,first year in this position,first year in this position,coach,least,which coach was the first to coach before all others ?
139,most,1937 Nebraska Cornhuskers football team,Years at Nebraska,comparee,years,which,years at nebraska,years,coach,most,which coach held his position for the most years ?
140,#,1937 Nebraska Cornhuskers football team,Name Title First year\nin this position Years at Nebraska Alma Mater,comparee,first year in this position,which,first year in this position,first year in this position,coach,nan,which coach listed started first ?
141,better,List of number-one albums of 2012 (Finland),Album,comparee,selling,which,album,selling,#,more,"which was better selling, hunningolla or vain elamaa ?"
142,highest,List of number-one albums of 2012 (Finland),Artist(s),index,sell,does,artist(s),sell,#,most,does adele or chisu have the highest number of sales ?
143,last,List of number-one albums of 2012 (Finland),Artist(s),comparee,sell,which,artist(s),sell,#,most,"which was the last album to sell over 100,000 records ?"
144,most,List of number-one albums of 2012 (Finland),Album,comparee, sold,what,album, sold,album,most,tell me what album had the most sold.
145,least,List of number-one albums of 2012 (Finland),Album Sales,comparee,sales,which,album,sales,album,least,which album had the least amount of sales ?
146,top,List of number-one albums of 2012 (Finland),Album,comparee,selling,what,album,selling,#,least,what was the top selling album in this year ?
147,highest,List of number-one albums of 2012 (Finland),Album,comparee,#,which,album,#,album,most,which album has the highest number of sales but doesn't have a designated artist ?
148,#,Dev (actor),Year Award Category Film Result,comparee,#,what,nan,#,#,nan,"what is the difference between the number times the result was ""won"" and the number of times the result was ""nominated?"""
149,first,Dev (actor),DURATION Year Film,comparee,year,what,film,year,#,least,what was the first movie that this actor received an award for starring in ?
150,most,Dev (actor),Film,comparee,#,which,nan,#,film,most,which film won the most awards ?
151,longest,Dev (actor),Year Award Category Film Result,comparee,#,what,nan,#,#,most,what is dev's longest streak of consecutive wins without a loss ?
152,largest,1974 Kansas City Chiefs season,Week Date Opponent Result Attendance,comparee,#,what,nan,#,#,most,"what is the next largest attendance record after 74,854 ?"
153,more,1999 Miller Lite 225,Driver Points,difference,points,how many,driver,points,#,more,how many more points did paul tracy earn during the race than max papis ?
154,least,1999 Miller Lite 225,Pos No Driver Team Laps Time/Retired Grid Points,comparee,#,who,nan,#,ran,least,who ran the least number of laps in the 1999 miller lite 225 ?
155,most,1999 Miller Lite 225,Pos No Driver Team Laps Time/Retired Grid Points,comparee,#,#,nan,#,#,most,the most points rewarded to drivers under 225 laps
156,#,Restaurant Express,Episode Name Synopsis Sent Home Highest Seller,comparee,#,what,nan,#,#,nan,what is the difference in the number of people sent home in episode one and two ?
157,highest,Restaurant Express,Episode Highest Seller,comparee,highest seller,what,episode,highest seller,two,most,what two episodes was adam the highest seller ?
158,last,Restaurant Express,Episode Name Synopsis Sent Home Highest Seller,comparee,#,what,nan,#,#,most,what was the last episode with two people sent home ?
159,last,Restaurant Express,Sent Home,comparee,position,who,sent home,position,#,most,who was the last person to be sent home ?
160,highest,Restaurant Express,Episode Name Synopsis Sent Home Highest Seller,comparee,#,what,nan,#,#,most,what was the only episode without a highest seller ?
161,longer,List of gold mines in Canada,Mine Dates,comparee,dates,which,mine,dates,mine,more,"which mine was open longer, golden giant or beanland mine ?"
162,#,List of gold mines in Canada,Town,comparee,#,what,nan,#,town,nan,what town is listed the most ?
163,#,Odisha,District,comparee,child population,what,district,child population,#,-1,what is the difference in child population between koraput and puri ?
164,higher,Odisha,District,comparee,population,which,nan,population,district,more,"which district has a higher population, angul or cuttack ?"
165,least,Odisha,District,comparee,growth from 2001-2011,which,district,growth from 2001-2011,district,least,which district had least population growth from 2001-2011 ?
166,last,Odisha,District,comparee,literacy,what,district,literacy,city,most,what city is last in literacy ?
167,most,Odisha,District,comparee,people per km2,which,district,people per km2,district,most,which district had the most people per km ?
168,highest,1976–77 San Antonio Spurs season,# Date Visitor Score Home Record,comparee,points,which,nan,points,team,most,which team won in the game in which the highest number of points was scored ?
169,most,1976–77 San Antonio Spurs season,#,comparee,#,who,nan,#,played,most,who played the most consecutive home games
170,first,1976–77 San Antonio Spurs season,# Date,comparee,#,which,nan,#,date,least,if a relative attended his/her first san antonio spurs game at the end of 1976 which date would they be referring to ?
171,first,1976–77 San Antonio Spurs season,#,comparee,#,who,nan,#,#,least,who was the opponent in the first game the san antonio spurs won in december 1976 ?
172,same,1976–77 San Antonio Spurs season,#,index,results,was,#,results,#,equal,was the result of the game on the 2nd the same as the game on the 23rd ?
173,least,Christel Boeljon,DURATION Year,comparee,scoring average,which,year,scoring average,one,least,which one is the least with scoring average
174,most,Christel Boeljon,DURATION ORDINAL Year 2nd,comparee,2nd,which,year,2nd,year,most,which year in this golfer's career saw her have the most 2nd place finishes ?
175,last,Christel Boeljon,DURATION Year,comparee,year,what,nan,year,#,most,what is the last year christel boeljon played in the ladies european tour as an amateur ?
176,larger,Pancho Carter,DURATION Year,index,place,did,year,place,#,more,did 1979 or 1985 have the larger finish place ?
177,top,Pancho Carter,Year Chassis Engine Start Finish,comparee,#,what,nan,#,#,least,what is the total number of times pancho carter finished the indy 500 in the top 10> ?
178,#,Population of Middlesex (1801–81),Year Edmonton\nHundred Elthorne\nHundred Gore\nHundred Isleworth\nHundred Ossulstone\nHundred\nHolborn\nDivision Ossulstone\nHundred\nFinsbury\nDivision Ossulstone\nHundred\nKensington\nDivision Ossulstone\nHundred\nTower\nDivision Spelthorne\nHundred London City\nWithin\nthe Walls London City\nWithout\nthe Walls Inns of Court\nand\nChancery Westminster\nCity and\nLiberty Total,comparee,#,what,#,#,#,-1,what is the difference between the edmonton hundred and the elthorne hundred in 1801 ?
179,#,Population of Middlesex (1801–81),Year Edmonton\nHundred Elthorne\nHundred Gore\nHundred Isleworth\nHundred Ossulstone\nHundred\nHolborn\nDivision Ossulstone\nHundred\nFinsbury\nDivision Ossulstone\nHundred\nKensington\nDivision Ossulstone\nHundred\nTower\nDivision Spelthorne\nHundred London City\nWithin\nthe Walls London City\nWithout\nthe Walls Inns of Court\nand\nChancery Westminster\nCity and\nLiberty Total,comparee,#,what,nan,#,#,-1,what is the difference between the elthorne hundred and the gore hundred in 1831 ?
180,largest,Population of Middlesex (1801–81),DURATION Year Total,comparee,total,which,year,total,year,most,which year saw the largest population of tower division during this time ?
181,most,Population of Middlesex (1801–81),Year Edmonton\nHundred Elthorne\nHundred Gore\nHundred Isleworth\nHundred Ossulstone\nHundred\nHolborn\nDivision Ossulstone\nHundred\nFinsbury\nDivision Ossulstone\nHundred\nKensington\nDivision Ossulstone\nHundred\nTower\nDivision Spelthorne\nHundred London City\nWithin\nthe Walls London City\nWithout\nthe Walls Inns of Court\nand\nChancery Westminster\nCity and\nLiberty Total,comparee,division,which,#,division,division,most,"in 1881, the most people lived in which division of middlesex ?"
182,last,Population of Middlesex (1801–81),Year Edmonton\nHundred Elthorne\nHundred Gore\nHundred Isleworth\nHundred Ossulstone\nHundred\nHolborn\nDivision Ossulstone\nHundred\nFinsbury\nDivision Ossulstone\nHundred\nKensington\nDivision Ossulstone\nHundred\nTower\nDivision Spelthorne\nHundred London City\nWithin\nthe Walls London City\nWithout\nthe Walls Inns of Court\nand\nChancery Westminster\nCity and\nLiberty Total,comparee,#,what,nan,#,#,most,"what was the last year that the gore hundred was below 10,000 ?"
183,#,Athletics at the 2006 Asian Games – Women's 400 metres,Time,comparee,time,what,time,time,#,-1,what was the difference between he bronze medalist and the fourth place finisher's time ?
184,first,Athletics at the 2006 Asian Games – Women's 400 metres,Rank Lane Athlete Time,comparee,#,who,athelete,#,placed,least,who placed first in the 2006 asian games finals? ?
185,top,Athletics at the 2006 Asian Games – Women's 400 metres,Rank Lane Athlete Time,comparee,#,who,athelete,#,#,least,who was the top finisher ?
186,faster,Athletics at the 2006 Asian Games – Women's 400 metres,Time,difference,time,how much,athelete,time,#,less,how much faster was olga tereshkova's time compared to mahjeet kaur ?
187,longest,1997 Kansas City Chiefs season,Week Opponent Result Game site TV Time Attendance,difference,winning streak,how,nan,winning streak,#,most,how long was their longest winning streak ?
188,most,1997 Kansas City Chiefs season,Opponent,comparee,#,which,opponent,#,team?,most,the most points the kansas city chiefs scored in the 1997 season was in a game against which team ?
189,more,Austria Davis Cup team,Year Competition Date Location Opponent Score Result,index,games,did,nan,games,#,more,did austria win more games in 1992 or 1996 ?
190,greatest,Austria Davis Cup team,NUMBER Score,comparee,points,what,score,points,#,most,what is the greatest number of points this team has won by ?
191,least,Austria Davis Cup team,DURATION Year,comparee,goals,what,year,goals,year,least,in what year did they score the least amount of goals ?
192,last,Austria Davis Cup team,DURATION Year Opponent,comparee,year,what,opponent,year,#,most,what was the last team this team played against in the 1990s ?
193,shorter,Whatcha Lookin' 4,Title Time,comparee,time,which,title,time,song,less,"which song is the only one that is shorter than ""where the spirit is?"""
194,more,Whatcha Lookin' 4,# Title Time,difference,time,how many,title,time,#,more,how many tracks last more than 5:00 ?
195,better,Australia women's national association football team,Opponent,comparee,scored,who,opponent,scored,scored,more,who scored better in the 1995 fifa world cup denmark or the united states ?
196,#,Australia women's national association football team,Competition,difference,number of goals,what,number of goals,number of goals,1999 fifa world cup,nan,what is the difference in the number of goals scored in the 1999 fifa world cup and the 2000 summer olympics ?
197,first,Australia women's national association football team,Competition Stage Opponent Result Scorers,comparee,#,what,nan,#,#,least,what it the total number of countries in the first stage of the 2008 afc asian cup ?
198,first,Australia women's national association football team,Competition Stage Opponent Result Scorers,comparee,#,who,nan,#,#,least,who was this team's next opponent after facing new zealand in the first stage of the 1986 ofc championship ?
